Starting cleaning...

  Cleaned: AddCaseServlet.java (226 -> 189, saved 37)
  Cleaned: AdminDAO.java (64 -> 54, saved 10)
  Cleaned: CaseDAO.java (57 -> 40, saved 17)
  Cleaned: CaseManagementDAO.java (45 -> 36, saved 9)
  Cleaned: CaseRequestDAO.java (198 -> 153, saved 45)
  Cleaned: InternDAO.java (47 -> 38, saved 9)
  Cleaned: InternDashboardDAO.java (115 -> 103, saved 12)
  Cleaned: InternRegistrationDAO.java (87 -> 64, saved 23)
  Cleaned: LawyerDAO.java (48 -> 39, saved 9)
  Cleaned: LawyerDashboardDAO.java (209 -> 138, saved 71)
  Cleaned: UserDAO.java (77 -> 60, saved 17)
  Cleaned: DatabaseConfig.java (17 -> 13, saved 4)
  Cleaned: FileUploadUtil.java (273 -> 180, saved 93)
  Cleaned: LoginServlet.java (205 -> 165, saved 40)
  Cleaned: NotificationService.java (49 -> 42, saved 7)
  Cleaned: PasswordUtil.java (55 -> 33, saved 22)
  Cleaned: RegisterServlet.java (194 -> 166, saved 28)
  Cleaned: SendMessageServlet.java (193 -> 138, saved 55)
  Cleaned: AdminDashboardServlet.java (35 -> 28, saved 7)
  Cleaned: ClientDashboardServlet.java (58 -> 41, saved 17)
  Cleaned: InternDashboardServlet.java (64 -> 49, saved 15)
  Cleaned: LawyerDashboardServlet.java (75 -> 58, saved 17)
  Cleaned: ProcessInternServlet.java (192 -> 163, saved 29)
  Cleaned: ValidationUtil.java (24 -> 19, saved 5)
  Cleaned: admindashboard.jsp (307 -> 284, saved 23)
  Cleaned: allotlawyerdone.jsp (42 -> 36, saved 6)
  Cleaned: assign_intern_to_lawyer.jsp (176 -> 168, saved 8)
  Cleaned: _head.jsp (8 -> 7, saved 1)
  Cleaned: _sidebar.jsp (19 -> 17, saved 2)
  Cleaned: interns.jsp (51 -> 50, saved 1)
  Cleaned: lawyers.jsp (51 -> 50, saved 1)
  Cleaned: process_assign_intern_lawyer.jsp (57 -> 45, saved 12)
  Cleaned: user_action.jsp (40 -> 34, saved 6)
  Cleaned: verifylawyerdoc.jsp (24 -> 22, saved 2)
  Cleaned: viewcases.jsp (134 -> 128, saved 6)
  Cleaned: viewcustomers.jsp (155 -> 145, saved 10)
  Cleaned: viewinterns.jsp (135 -> 126, saved 9)
  Cleaned: viewlawdetails.jsp (49 -> 45, saved 4)
  Cleaned: viewlawyerdocuments.jsp (51 -> 48, saved 3)
  Cleaned: viewlawyers.jsp (148 -> 139, saved 9)
  Cleaned: cust_login.html (83 -> 73, saved 10)
  Cleaned: cust_login.jsp (89 -> 72, saved 17)
  Cleaned: internlogin.html (123 -> 101, saved 22)
  Cleaned: internlogin.jsp (50 -> 44, saved 6)
  Cleaned: internlogin_form.jsp (117 -> 93, saved 24)
  Cleaned: Lawyer_login_form.jsp (127 -> 105, saved 22)
  Cleaned: Login.jsp (118 -> 104, saved 14)
  Cleaned: verification_pending.jsp (101 -> 95, saved 6)
  Cleaned: billing.jsp (46 -> 43, saved 3)
  Cleaned: cancel_lawyer_request.jsp (61 -> 46, saved 15)
  Cleaned: case.jsp (161 -> 149, saved 12)
  Cleaned: clientdashboard.jsp (303 -> 283, saved 20)
  Cleaned: client_case_details.jsp (221 -> 194, saved 27)
  Cleaned: client_viewcases.jsp (125 -> 113, saved 12)
  Cleaned: close_case_client.jsp (66 -> 55, saved 11)
  Cleaned: _head.jsp (8 -> 7, saved 1)
  Cleaned: _sidebar.jsp (20 -> 17, saved 3)
  Cleaned: customer.jsp (29 -> 26, saved 3)
  Cleaned: customer_form.jsp (158 -> 143, saved 15)
  Cleaned: documents.jsp (34 -> 33, saved 1)
  Cleaned: findlawyer.jsp (158 -> 149, saved 9)
  Cleaned: notifications.jsp (43 -> 42, saved 1)
  Cleaned: requestlawyer.jsp (123 -> 108, saved 15)
  Cleaned: send_lawyer_request.jsp (97 -> 75, saved 22)
  Cleaned: uploadClientDoc.jsp (22 -> 19, saved 3)
  Cleaned: index.jsp (3 -> 2, saved 1)
  Cleaned: assign_intern_case.jsp (45 -> 43, saved 2)
  Cleaned: assign_task.jsp (54 -> 52, saved 2)
  Cleaned: _head.jsp (8 -> 7, saved 1)
  Cleaned: _sidebar.jsp (18 -> 16, saved 2)
  Cleaned: intern.jsp (237 -> 216, saved 21)
  Cleaned: interndashboard.jsp (267 -> 242, saved 25)
  Cleaned: process_assign_intern.jsp (89 -> 77, saved 12)
  Cleaned: uploadInternWork.jsp (54 -> 52, saved 2)
  Cleaned: viewcase_intern.jsp (211 -> 195, saved 16)
  Cleaned: about.html (17 -> 15, saved 2)
  Cleaned: case_success.jsp (22 -> 21, saved 1)
  Cleaned: customer_reg_success.jsp (22 -> 21, saved 1)
  Cleaned: header.html (32 -> 31, saved 1)
  Cleaned: Home.html (330 -> 297, saved 33)
  Cleaned: Lawyer.html (195 -> 181, saved 14)
  Cleaned: Lawyer.jsp (185 -> 171, saved 14)
  Cleaned: role_select.html (101 -> 84, saved 17)
  Cleaned: acceptcase.jsp (72 -> 58, saved 14)
  Cleaned: accept_case.jsp (120 -> 106, saved 14)
  Cleaned: closecase.jsp (62 -> 49, saved 13)
  Cleaned: close_case.jsp (66 -> 55, saved 11)
  Cleaned: _head.jsp (10 -> 8, saved 2)
  Cleaned: _sidebar.jsp (18 -> 16, saved 2)
  Cleaned: intern_action.jsp (82 -> 65, saved 17)
  Cleaned: Lawyerdashboard.jsp (320 -> 299, saved 21)
  Cleaned: lawyerprofile.jsp (130 -> 120, saved 10)
  Cleaned: manage_hearings.jsp (189 -> 179, saved 10)
  Cleaned: notifications.jsp (43 -> 42, saved 1)
  Cleaned: process_client_request.jsp (129 -> 104, saved 25)
  Cleaned: rejectcase.jsp (71 -> 58, saved 13)
  Cleaned: update_case_status.jsp (125 -> 115, saved 10)
  Cleaned: viewcase.jsp (130 -> 122, saved 8)
  Cleaned: viewcases.jsp (112 -> 103, saved 9)
  Cleaned: viewcusdet.jsp (167 -> 162, saved 5)
  Cleaned: viewcustdetails.jsp (174 -> 167, saved 7)
  Cleaned: view_case_documents.jsp (39 -> 38, saved 1)
  Cleaned: 404.jsp (22 -> 20, saved 2)
  Cleaned: accessDenied.jsp (22 -> 20, saved 2)
  Cleaned: app-layout.css (152 -> 116, saved 36)
  Cleaned: caseDiscussion.jsp (423 -> 231, saved 192)
  Cleaned: caseDiscussions.jsp (115 -> 109, saved 6)
  Cleaned: chat_archive.jsp (121 -> 114, saved 7)
  Cleaned: csrf_token.jsp (8 -> 6, saved 2)
  Cleaned: db_connection.jsp (13 -> 3, saved 10)
  Cleaned: downloadDoc.jsp (127 -> 112, saved 15)
  Cleaned: download_case_doc.jsp (69 -> 59, saved 10)
  Cleaned: error.jsp (48 -> 45, saved 3)
  Cleaned: get_messages.jsp (72 -> 66, saved 6)
  Cleaned: get_new_messages.jsp (136 -> 122, saved 14)
  Cleaned: justice4u-tokens.css (102 -> 76, saved 26)
  Cleaned: main.js (90 -> 66, saved 24)
  Cleaned: script.js (157 -> 135, saved 22)
  Cleaned: send_message.jsp (134 -> 121, saved 13)
  Cleaned: session_validator.jsp (101 -> 2, saved 99)
  Cleaned: signout.jsp (11 -> 10, saved 1)
  Cleaned: upload_case_doc.jsp (103 -> 83, saved 20)
  Cleaned: view_case_documents.jsp (129 -> 120, saved 9)
  Cleaned: _footer.jsp (20 -> 16, saved 4)
  Cleaned: _head.jsp (35 -> 25, saved 10)
  Cleaned: _sidebar.jsp (132 -> 122, saved 10)
  Cleaned: _topbar.jsp (59 -> 53, saved 6)

=== DONE ===
Files processed: 132
Lines before: 12919
Lines after:  11015
Lines saved:  1904
