"Name","Lines","FullName"
"Lawyer.html","445","C:\xampp\htdocs\J4U\J4U\web\landing\Lawyer.html"
"caseDiscussion.jsp","396","C:\xampp\htdocs\J4U\J4U\web\shared\caseDiscussion.jsp"
"Home.html","313","C:\xampp\htdocs\J4U\J4U\web\landing\Home.html"
"Lawyerdashboard.jsp","308","C:\xampp\htdocs\J4U\J4U\web\lawyer\Lawyerdashboard.jsp"
"admindashboard.jsp","298","C:\xampp\htdocs\J4U\J4U\web\admin\admindashboard.jsp"
"clientdashboard.jsp","291","C:\xampp\htdocs\J4U\J4U\web\client\clientdashboard.jsp"
"interndashboard.jsp","261","C:\xampp\htdocs\J4U\J4U\web\intern\interndashboard.jsp"
"FileUploadUtil.java","231","C:\xampp\htdocs\J4U\J4U\src\java\com\j4u\FileUploadUtil.java"
"intern.jsp","225","C:\xampp\htdocs\J4U\J4U\web\intern\intern.jsp"
"client_case_details.jsp","213","C:\xampp\htdocs\J4U\J4U\web\client\client_case_details.jsp"
